model,best_params,best_cv_score,cv_mean,cv_std,accuracy,precision,recall,f1,roc_auc
Random Forest,"{'n_estimators': 400, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",0.9905056759545925,0.9905056759545925,0.004934172585296953,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.998015873015873
Support Vector Machine,"{'C': 1.0, 'gamma': 'auto', 'kernel': 'rbf'}",0.9950464396284829,0.9950464396284829,0.0041995851288701294,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.9953703703703705
Logistic Regression,{'C': 1.0},0.9953560371517026,0.9953560371517026,0.004751646824859202,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9953703703703705

