feature,importance,normalized_importance
gray_entropy,0.025546909463374463,0.025546909463374463
green_median,0.019000971877049994,0.019000971877049994
blue_median,0.017359380371964713,0.017359380371964713
thumb_pixel_128,0.014429380113901227,0.014429380113901227
blue_hist_00,0.012558161009957592,0.012558161009957592
thumb_pixel_160,0.012405082433014213,0.012405082433014213
gray_hist_11,0.012353899241486872,0.012353899241486872
thumb_pixel_177,0.012024101509606104,0.012024101509606104
thumb_pixel_144,0.011986947257872874,0.011986947257872874
red_hist_05,0.011777878648565948,0.011777878648565948
thumb_pixel_194,0.011105494690915457,0.011105494690915457
red_hist_06,0.010682236333236306,0.010682236333236306
thumb_pixel_205,0.010521257263496649,0.010521257263496649
blue_hist_06,0.010194320513167513,0.010194320513167513
thumb_pixel_109,0.010039271272765195,0.010039271272765195
thumb_pixel_178,0.00999603384964875,0.00999603384964875
blue_hist_05,0.009854132179545574,0.009854132179545574
green_hist_05,0.009841341955130742,0.009841341955130742
thumb_pixel_050,0.009570315470457164,0.009570315470457164
thumb_pixel_113,0.009265626662003463,0.009265626662003463
thumb_pixel_235,0.009091298901963009,0.009091298901963009
thumb_pixel_162,0.009073012866714624,0.009073012866714624
gray_hist_10,0.009009538715117563,0.009009538715117563
thumb_pixel_174,0.008778866017901968,0.008778866017901968
thumb_pixel_097,0.00836590768800646,0.00836590768800646
thumb_pixel_227,0.00827092357221251,0.00827092357221251
thumb_pixel_129,0.007850310280327897,0.007850310280327897
thumb_pixel_065,0.007588438906830297,0.007588438906830297
red_median,0.007585803976861299,0.007585803976861299
green_hist_03,0.00705448698267122,0.00705448698267122
green_hist_06,0.0070236141615019265,0.0070236141615019265
thumb_pixel_161,0.006976857626219311,0.006976857626219311
thumb_pixel_035,0.006972718259904777,0.006972718259904777
thumb_pixel_081,0.006892211774063572,0.006892211774063572
thumb_pixel_145,0.006851432052075696,0.006851432052075696
thumb_pixel_193,0.006814577462417703,0.006814577462417703
thumb_pixel_213,0.005767087433714164,0.005767087433714164
blue_hist_03,0.005722230582759309,0.005722230582759309
thumb_pixel_211,0.005489943954937746,0.005489943954937746
gray_hist_02,0.005365271287438777,0.005365271287438777
edge_mean,0.005310706302683852,0.005310706302683852
thumb_pixel_167,0.005286546383535411,0.005286546383535411
thumb_pixel_110,0.005191194892332446,0.005191194892332446
blue_mean,0.004942217700991393,0.004942217700991393
red_mean,0.004929202177892997,0.004929202177892997
thumb_pixel_044,0.004908249001461353,0.004908249001461353
thumb_pixel_061,0.004869441558267442,0.004869441558267442
thumb_pixel_096,0.00486733470314471,0.00486733470314471
gray_hist_07,0.004754552773841373,0.004754552773841373
thumb_pixel_119,0.004744561756769125,0.004744561756769125
thumb_pixel_151,0.004705631230739986,0.004705631230739986
gray_hist_12,0.0046532649046574425,0.0046532649046574425
green_hist_00,0.004614355271921931,0.004614355271921931
red_hist_04,0.004578883241874551,0.004578883241874551
thumb_pixel_136,0.004538441458367816,0.004538441458367816
thumb_pixel_099,0.004520462850361321,0.004520462850361321
gray_hist_06,0.004427900798630901,0.004427900798630901
thumb_pixel_176,0.004412421463478397,0.004412421463478397
gray_std,0.004351426759538785,0.004351426759538785
green_hist_01,0.00428425813267135,0.00428425813267135
thumb_pixel_153,0.004244649564995616,0.004244649564995616
thumb_pixel_084,0.004242687495155836,0.004242687495155836
thumb_pixel_182,0.00420779964411517,0.00420779964411517
red_q75,0.004187252971542334,0.004187252971542334
thumb_pixel_249,0.004168488215251961,0.004168488215251961
thumb_pixel_066,0.0040969304156134355,0.0040969304156134355
thumb_pixel_126,0.00402680402222871,0.00402680402222871
thumb_pixel_112,0.0039915079904687765,0.0039915079904687765
thumb_pixel_059,0.003980720689455251,0.003980720689455251
thumb_pixel_021,0.003963973033226571,0.003963973033226571
thumb_pixel_170,0.003921526018599629,0.003921526018599629
thumb_pixel_234,0.003907707553810002,0.003907707553810002
thumb_pixel_120,0.0038608460386155953,0.0038608460386155953
thumb_pixel_127,0.0038256838714937095,0.0038256838714937095
thumb_pixel_190,0.003819452491486602,0.003819452491486602
thumb_pixel_056,0.003811988297790491,0.003811988297790491
gray_hist_14,0.003804542489507841,0.003804542489507841
thumb_pixel_179,0.0037850095995459595,0.0037850095995459595
thumb_pixel_131,0.003771103580683614,0.003771103580683614
thumb_pixel_216,0.003766798757194813,0.003766798757194813
thumb_pixel_114,0.0037455114120232,0.0037455114120232
thumb_pixel_222,0.0037310620436203108,0.0037310620436203108
blue_hist_01,0.0037288163129411025,0.0037288163129411025
thumb_pixel_246,0.0037201847831109134,0.0037201847831109134
thumb_pixel_118,0.003705914138751834,0.003705914138751834
thumb_pixel_093,0.0036196946827243177,0.0036196946827243177
thumb_pixel_159,0.003614104737413897,0.003614104737413897
thumb_pixel_142,0.003573254643337569,0.003573254643337569
thumb_pixel_092,0.00357042862263673,0.00357042862263673
blue_hist_04,0.003548347562364511,0.003548347562364511
thumb_pixel_220,0.0035339557711523855,0.0035339557711523855
