model,best_cv_score,best_params,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr
Random Forest,0.9599695720072212,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 150}",0.96875,0.9751515151515151,0.9668803418803419,0.9704901116010798,0.9972447143499775
Logistic Regression,0.922751346243912,{'model__C': 3.0},0.953125,0.9543650793650794,0.9316239316239315,0.9412081984897519,0.9908485155195681
Support Vector Machine,0.9394261397239415,"{'model__C': 0.5, 'model__kernel': 'linear'}",0.9453125,0.9393939393939394,0.9252136752136751,0.9314786395931877,0.9908625730994153

