feature,importance,normalized_importance
edge_q90,0.04046661628350774,0.04046661628350774
thumb_pixel_047,0.017120168879765914,0.017120168879765914
thumb_pixel_063,0.01215880292028873,0.01215880292028873
thumb_pixel_207,0.011419829796748989,0.011419829796748989
edge_mean,0.011220640801121997,0.011220640801121997
thumb_pixel_223,0.010962535394427046,0.010962535394427046
thumb_pixel_079,0.010283098899538568,0.010283098899538568
thumb_pixel_048,0.00964408543074399,0.00964408543074399
thumb_pixel_064,0.009500641917281,0.009500641917281
gray_hist_00,0.009405733529216935,0.009405733529216935
gray_max,0.009354667863495284,0.009354667863495284
green_max,0.009198895565628216,0.009198895565628216
thumb_pixel_208,0.009177674772768075,0.009177674772768075
thumb_pixel_004,0.008902855157270751,0.008902855157270751
thumb_pixel_032,0.008760454298628996,0.008760454298628996
thumb_pixel_046,0.008320173693092204,0.008320173693092204
thumb_pixel_033,0.008195408530680693,0.008195408530680693
green_hist_00,0.008136623326498126,0.008136623326498126
thumb_pixel_011,0.008032439085092212,0.008032439085092212
red_q25,0.007965354089992636,0.007965354089992636
red_hist_00,0.007467818661558183,0.007467818661558183
green_q25,0.007391136341790903,0.007391136341790903
thumb_pixel_192,0.0070635522255246795,0.0070635522255246795
thumb_pixel_029,0.006746326315378782,0.006746326315378782
blue_max,0.006663537766399813,0.006663537766399813
thumb_pixel_009,0.0064994135463101906,0.0064994135463101906
thumb_pixel_008,0.00627602985229604,0.00627602985229604
gray_hist_13,0.005791745605404552,0.005791745605404552
thumb_pixel_028,0.0056783703530541,0.0056783703530541
thumb_pixel_007,0.00562834571108209,0.00562834571108209
thumb_pixel_006,0.005581250248217767,0.005581250248217767
thumb_pixel_209,0.005315553362666599,0.005315553362666599
thumb_pixel_010,0.005290820584421719,0.005290820584421719
blue_hist_00,0.0050943828313506955,0.0050943828313506955
green_std,0.0050033752266459225,0.0050033752266459225
thumb_pixel_005,0.004975375062205166,0.004975375062205166
thumb_pixel_191,0.004964280476079973,0.004964280476079973
green_hist_06,0.004942396723523181,0.004942396723523181
thumb_pixel_034,0.004930606000508499,0.004930606000508499
thumb_pixel_019,0.004897988447220346,0.004897988447220346
thumb_pixel_254,0.004883551965068316,0.004883551965068316
blue_q25,0.004833185372873344,0.004833185372873344
thumb_pixel_062,0.004769462022281167,0.004769462022281167
thumb_pixel_176,0.00470304551128172,0.00470304551128172
thumb_pixel_039,0.004615515270669999,0.004615515270669999
thumb_pixel_065,0.004550978868773415,0.004550978868773415
gray_std,0.004533525713280021,0.004533525713280021
thumb_pixel_081,0.00453034600871735,0.00453034600871735
thumb_pixel_222,0.004519590206500157,0.004519590206500157
thumb_pixel_237,0.004367916961562743,0.004367916961562743
thumb_pixel_016,0.0043557604352824335,0.0043557604352824335
thumb_pixel_037,0.004202734857649515,0.004202734857649515
edge_std,0.004188648679655094,0.004188648679655094
gray_entropy,0.004182557893718802,0.004182557893718802
thumb_pixel_012,0.004135176138180526,0.004135176138180526
thumb_pixel_110,0.004128573486878201,0.004128573486878201
thumb_pixel_078,0.004073778962664671,0.004073778962664671
green_hist_05,0.0040580851716304,0.0040580851716304
thumb_pixel_022,0.0039625307102823994,0.0039625307102823994
gray_hist_11,0.003903863768606478,0.003903863768606478
thumb_pixel_226,0.003797528066830635,0.003797528066830635
blue_median,0.0037752914122022294,0.0037752914122022294
thumb_pixel_061,0.0037653177516854775,0.0037653177516854775
thumb_pixel_096,0.003744234459314603,0.003744234459314603
thumb_pixel_112,0.003710993492485011,0.003710993492485011
blue_hist_02,0.003693230491782649,0.003693230491782649
thumb_pixel_017,0.0036684972678120878,0.0036684972678120878
thumb_pixel_018,0.0036663198877446993,0.0036663198877446993
gray_hist_12,0.00364303230207628,0.00364303230207628
thumb_pixel_097,0.003626809043088838,0.003626809043088838
thumb_pixel_023,0.0036260366406609787,0.0036260366406609787
thumb_pixel_049,0.0036079111319640244,0.0036079111319640244
thumb_pixel_145,0.0035990366931046604,0.0035990366931046604
green_hist_04,0.00358643062249127,0.00358643062249127
thumb_pixel_045,0.0035533230177617475,0.0035533230177617475
thumb_pixel_025,0.0035341241491698362,0.0035341241491698362
