model,best_cv_score,best_params,accuracy,precision_macro,recall_macro,f1_macro,roc_auc
Random Forest,0.7876118463818882,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__n_estimators': 150}",0.8431372549019608,0.8409090909090909,0.8266129032258065,0.8322368421052632,0.8951612903225807
Support Vector Machine,0.7547626639004357,"{'model__C': 3.0, 'model__kernel': 'rbf'}",0.8235294117647058,0.8142857142857143,0.8193548387096774,0.8164734106357456,0.9016129032258065
Logistic Regression,0.7569258800294312,{'model__C': 1.0},0.7843137254901961,0.7763975155279503,0.7870967741935484,0.7788726842727631,0.8096774193548388

