feature,importance,normalized_importance
thumb_pixel_006,0.024566417617293442,0.024566417617293442
thumb_pixel_008,0.020884790370691977,0.020884790370691977
thumb_pixel_009,0.01950320035315485,0.01950320035315485
thumb_pixel_005,0.01751953575791758,0.01751953575791758
thumb_pixel_007,0.016405050997015107,0.016405050997015107
thumb_pixel_034,0.012050946535097624,0.012050946535097624
thumb_pixel_027,0.011981178119438008,0.011981178119438008
thumb_pixel_010,0.01164125589630722,0.01164125589630722
thumb_pixel_141,0.010754748304431763,0.010754748304431763
thumb_pixel_125,0.010599716676809433,0.010599716676809433
thumb_pixel_065,0.010066342087284104,0.010066342087284104
thumb_pixel_049,0.010018209790777315,0.010018209790777315
thumb_pixel_021,0.009198115494368471,0.009198115494368471
thumb_pixel_020,0.008949540300527921,0.008949540300527921
thumb_pixel_128,0.008390729151158372,0.008390729151158372
thumb_pixel_050,0.007267655014567298,0.007267655014567298
thumb_pixel_001,0.007244732190699435,0.007244732190699435
thumb_pixel_207,0.007210900251432901,0.007210900251432901
thumb_pixel_144,0.007048028518671929,0.007048028518671929
thumb_pixel_045,0.006792498607387061,0.006792498607387061
thumb_pixel_131,0.006770050327456491,0.006770050327456491
green_median,0.00662893878211768,0.00662893878211768
thumb_pixel_048,0.006595607755158538,0.006595607755158538
thumb_pixel_109,0.006480317609841607,0.006480317609841607
thumb_pixel_231,0.006139919239124375,0.006139919239124375
thumb_pixel_222,0.006014185443459214,0.006014185443459214
red_median,0.0057578928319982235,0.0057578928319982235
red_hist_06,0.005721409418204839,0.005721409418204839
thumb_pixel_099,0.005705778907633773,0.005705778907633773
thumb_pixel_171,0.005642067818045854,0.005642067818045854
thumb_pixel_197,0.005640809653723133,0.005640809653723133
thumb_pixel_024,0.005633458654657374,0.005633458654657374
gray_hist_13,0.005480620059609449,0.005480620059609449
gray_hist_12,0.005474080518805703,0.005474080518805703
thumb_pixel_112,0.005381667066434873,0.005381667066434873
thumb_pixel_164,0.005365852226388682,0.005365852226388682
blue_std,0.005338701408502952,0.005338701408502952
thumb_pixel_217,0.005290906892738695,0.005290906892738695
blue_hist_06,0.005155895497450113,0.005155895497450113
thumb_pixel_199,0.00511237701055506,0.00511237701055506
thumb_pixel_094,0.004989873071177909,0.004989873071177909
thumb_pixel_234,0.0049676560855422955,0.0049676560855422955
thumb_pixel_147,0.004947752422080828,0.004947752422080828
thumb_pixel_233,0.0049353103598726656,0.0049353103598726656
thumb_pixel_028,0.004847651623812315,0.004847651623812315
thumb_pixel_188,0.004801234454992704,0.004801234454992704
thumb_pixel_160,0.004743758695763909,0.004743758695763909
thumb_pixel_013,0.004705063603350454,0.004705063603350454
thumb_pixel_232,0.004685398695298018,0.004685398695298018
thumb_pixel_168,0.004684911087856201,0.004684911087856201
thumb_pixel_237,0.004652691898717131,0.004652691898717131
thumb_pixel_000,0.0046216651582192,0.0046216651582192
thumb_pixel_192,0.00450869483806036,0.00450869483806036
thumb_pixel_165,0.0044865911993138925,0.0044865911993138925
gray_hist_02,0.004476478994862145,0.004476478994862145
red_std,0.004451017331652422,0.004451017331652422
thumb_pixel_026,0.0043687375003418115,0.0043687375003418115
thumb_pixel_212,0.004345457584106537,0.004345457584106537
thumb_pixel_151,0.0043160883293424605,0.0043160883293424605
thumb_pixel_110,0.004305121832058336,0.004305121832058336
thumb_pixel_140,0.0042259771242488245,0.0042259771242488245
thumb_pixel_162,0.00421679244665681,0.00421679244665681
thumb_pixel_022,0.004216172449234493,0.004216172449234493
thumb_pixel_080,0.004185115066921343,0.004185115066921343
thumb_pixel_179,0.00415286898298563,0.00415286898298563
thumb_pixel_180,0.004110203274846998,0.004110203274846998
thumb_pixel_130,0.0040385254809804675,0.0040385254809804675
gray_std,0.0040330394781174705,0.0040330394781174705
thumb_pixel_148,0.004000928941899369,0.004000928941899369
blue_hist_01,0.003940936307947868,0.003940936307947868
thumb_pixel_229,0.0039193462841665685,0.0039193462841665685
thumb_pixel_114,0.003897252182878552,0.003897252182878552
thumb_pixel_201,0.0038817394935635827,0.0038817394935635827
thumb_pixel_178,0.003850431008934989,0.003850431008934989
blue_hist_07,0.003831383330272003,0.003831383330272003
blue_mean,0.0038201629673465355,0.0038201629673465355
thumb_pixel_035,0.0037856828937527006,0.0037856828937527006
thumb_pixel_163,0.0037684930251989644,0.0037684930251989644
green_hist_06,0.0037569548460170067,0.0037569548460170067
thumb_pixel_214,0.0037534589991230485,0.0037534589991230485
thumb_pixel_198,0.003737979157184106,0.003737979157184106
edge_std,0.0037203740725054325,0.0037203740725054325
thumb_pixel_216,0.003697077321273259,0.003697077321273259
thumb_pixel_115,0.003684152290832257,0.003684152290832257
thumb_pixel_249,0.0036688203585012623,0.0036688203585012623
gray_mean,0.003668811282855399,0.003668811282855399
thumb_pixel_176,0.003614633150865217,0.003614633150865217
thumb_pixel_159,0.003598696490478494,0.003598696490478494
thumb_pixel_253,0.0035804871212160383,0.0035804871212160383
thumb_pixel_155,0.0035799974975749323,0.0035799974975749323
thumb_pixel_064,0.0035797196333935285,0.0035797196333935285
thumb_pixel_087,0.003571203910230844,0.003571203910230844
thumb_pixel_184,0.003566347259169467,0.003566347259169467
thumb_pixel_189,0.0034962672193113065,0.0034962672193113065
green_q25,0.0034424588609034954,0.0034424588609034954
green_hist_07,0.0033686106349958655,0.0033686106349958655
thumb_pixel_123,0.0033558907191595364,0.0033558907191595364
thumb_pixel_111,0.0033534776278534213,0.0033534776278534213
thumb_pixel_063,0.003348908789834768,0.003348908789834768
thumb_pixel_215,0.003346659440361234,0.003346659440361234
thumb_pixel_213,0.003334237718769697,0.003334237718769697
thumb_pixel_218,0.003319607012183396,0.003319607012183396
thumb_pixel_203,0.0033185397290955367,0.0033185397290955367
thumb_pixel_118,0.0033139168453524205,0.0033139168453524205
thumb_pixel_200,0.0032670754584911386,0.0032670754584911386
thumb_pixel_169,0.0032527777312422114,0.0032527777312422114
thumb_pixel_181,0.003245861706167773,0.003245861706167773
red_mean,0.003245541186013561,0.003245541186013561
thumb_pixel_221,0.0032338728621834306,0.0032338728621834306
red_hist_07,0.003195152389064898,0.003195152389064898
thumb_pixel_196,0.0031846271698624464,0.0031846271698624464
blue_median,0.003164507660878777,0.003164507660878777
thumb_pixel_142,0.0031241620647398946,0.0031241620647398946
thumb_pixel_206,0.003091258162031851,0.003091258162031851
thumb_pixel_047,0.003052333517840629,0.003052333517840629
gray_hist_15,0.00304158407546723,0.00304158407546723
thumb_pixel_223,0.003037789137509899,0.003037789137509899
thumb_pixel_175,0.002984935422091925,0.002984935422091925
thumb_pixel_102,0.0029830773300566003,0.0029830773300566003
