model,best_cv_score,best_params,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr
Random Forest,0.7632057903853384,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 250}",0.8269230769230769,0.8279377689506786,0.8269230769230769,0.8260213571856435,0.9436945266272189
Support Vector Machine,0.7618040390830868,"{'model__C': 0.5, 'model__kernel': 'linear'}",0.8125,0.8110663108978472,0.8125,0.8115145199467075,0.9328772189349112
Logistic Regression,0.7653417755587739,{'model__C': 1.0},0.7932692307692307,0.7946246084833042,0.7932692307692307,0.7928837596964282,0.9407975838264301

